No.,Time,Source,Destination,Protocol,Length,Info
1,0.000000,192.168.1.1,192.168.1.100,TCP,74,80 > 54321 [SYN] Seq=0
2,0.001234,192.168.1.100,192.168.1.1,TCP,66,54321 > 80 [ACK] Seq=1
3,0.012456,192.168.1.1,192.168.1.100,HTTP,512,HTTP/1.1 200 OK
4,0.023100,10.0.0.5,10.0.0.1,UDP,128,DNS query
5,0.034200,10.0.0.1,10.0.0.5,UDP,200,DNS response
6,0.045678,192.168.1.50,8.8.8.8,TCP,1400,Data segment
7,0.056789,8.8.8.8,192.168.1.50,TCP,400,Data segment
8,0.067890,192.168.1.1,192.168.1.255,UDP,60,Broadcast
9,0.078901,192.168.1.100,192.168.1.1,HTTPS,890,TLS Application Data
10,0.090012,192.168.1.1,192.168.1.100,HTTPS,1200,TLS Application Data
11,0.101234,10.0.0.2,10.0.0.10,TCP,300,Data
12,0.112345,10.0.0.10,10.0.0.2,TCP,450,ACK + Data
13,0.123456,192.168.2.1,192.168.2.5,UDP,80,DNS query
14,0.134567,192.168.2.5,192.168.2.1,UDP,150,DNS response
15,0.145678,192.168.1.1,192.168.1.100,TCP,74,ACK
16,0.156789,192.168.1.100,192.168.1.1,HTTP,650,GET /index.html
17,0.167890,10.0.0.5,10.0.0.1,ICMP,84,Echo request
18,0.178901,10.0.0.1,10.0.0.5,ICMP,84,Echo reply
19,0.190012,192.168.1.50,192.168.1.1,TCP,1450,Large data burst
20,0.201234,192.168.1.1,192.168.1.50,TCP,66,ACK
21,0.212345,192.168.3.1,10.0.0.5,TCP,200,SYN
22,0.223456,10.0.0.5,192.168.3.1,TCP,180,SYN-ACK
23,0.234567,192.168.1.100,8.8.4.4,UDP,60,DNS
24,0.245678,8.8.4.4,192.168.1.100,UDP,90,DNS response
25,0.256789,192.168.1.1,192.168.1.100,HTTP,1350,HTTP response body
26,0.267890,192.168.1.100,192.168.1.1,TCP,66,ACK
27,0.278901,10.0.0.2,10.0.0.3,UDP,512,Data
28,0.290012,10.0.0.3,10.0.0.2,UDP,512,Data
29,0.301234,192.168.1.50,192.168.1.200,TCP,400,Data
30,0.312345,192.168.1.200,192.168.1.50,TCP,380,Data
31,0.323456,192.168.1.1,192.168.1.100,TCP,1500,ANOMALY SPIKE
32,0.334567,192.168.1.100,192.168.1.1,TCP,66,ACK
33,0.345678,10.0.0.5,10.0.0.1,TCP,350,Data
34,0.356789,10.0.0.1,10.0.0.5,TCP,280,Data
35,0.367890,192.168.2.1,192.168.2.100,HTTP,700,Request
36,0.378901,192.168.2.100,192.168.2.1,HTTP,900,Response
37,0.390012,192.168.1.1,192.168.1.100,TCP,420,Data
38,0.401234,192.168.1.100,192.168.1.1,TCP,360,Data
39,0.412345,10.0.0.2,10.0.0.10,UDP,110,DNS
40,0.423456,10.0.0.10,10.0.0.2,UDP,145,DNS response
41,0.434567,192.168.1.50,8.8.8.8,HTTPS,800,TLS
42,0.445678,8.8.8.8,192.168.1.50,HTTPS,950,TLS
43,0.456789,192.168.3.1,192.168.3.5,TCP,500,Data
44,0.467890,192.168.3.5,192.168.3.1,TCP,480,Data
45,0.478901,192.168.1.1,192.168.1.100,TCP,66,FIN
46,0.490012,192.168.1.100,192.168.1.1,TCP,66,FIN-ACK
47,0.501234,10.0.0.5,10.0.0.1,ICMP,84,Ping
48,0.512345,10.0.0.1,10.0.0.5,ICMP,84,Ping reply
49,0.523456,192.168.1.50,192.168.1.1,TCP,1200,Large data
50,0.534567,192.168.1.1,192.168.1.50,TCP,66,ACK
